"YEAR"	"AGE"	"MARST"	"n"	"prop"
1900	68	5	76663.67	0.341830257788584
1900	68	6	14395.67	0.0641878426527112
1900	69	1	111761.31	0.54028263566659
1900	69	2	6556.26	0.0316946305739923
1900	69	4	867.83	0.00419531123705097
1900	69	5	75344.32	0.364233631407031
1900	69	6	12327.4	0.059593791115336
1900	70	1	128936.48	0.48325288518544
1900	70	2	8394.23	0.0314615062115095
1900	70	4	1082.02	0.00405540221687725
1900	70	5	109602.81	0.410790446248661
1900	70	6	18794	0.0704397601375123
1900	71	1	79091.55	0.518466355575469
1900	71	2	4848.4	0.0317825643620855
1900	71	4	571.21	0.00374443498664856
1900	71	5	59338.15	0.388977512478773
1900	71	6	8699.74	0.0570291325970237
1900	72	1	85117.01	0.493472649946717
1900	72	2	5075	0.0294227170160182
1900	72	4	712.49	0.00413071756586065
1900	72	5	71182.97	0.412688942397973
1900	72	6	10398.3	0.0602849730734309
1900	73	1	72928.11	0.484129269648869
1900	73	2	4389.6	0.0291401195238801
1900	73	4	454.3	0.00301584570341232
1900	73	5	65268.94	0.433284288499398
1900	73	6	7596.73	0.0504304766244408
1900	74	1	61048.65	0.442446766606525
1900	74	2	3992.85	0.0289379629532326
1900	74	4	472.17	0.00342202636403267
1900	74	5	63667.01	0.461423188129554
1900	74	6	8798.97	0.0637700559466559
1900	75	1	65997.53	0.424957352967785
1900	75	2	4178.39	0.0269046061885507
1900	75	4	394.14	0.00253786302455141
1900	75	5	75287.82	0.484777425729645
1900	75	6	9446.01	0.0608227520894679
1900	76	1	47464.54	0.396934878716884
1900	76	2	4800.63	0.0401465491251919
1900	76	4	315.77	0.00264071086862804
1900	76	5	57814.4	0.48348834418472
1900	76	6	9182.31	0.076789517104576
1900	77	1	38691.99	0.376662220093959
1900	77	2	3182.24	0.0309787525343566
1900	77	4	416.73	0.00405682020955127
1900	77	5	51985.9	0.506076955658847
1900	77	6	8446.45	0.0822252515032859
1900	78	1	35355.97	0.371931517667235
1900	78	2	3052.57	0.0321118892477133
1900	78	4	294.16	0.00309445265501113
1900	78	5	49395.22	0.519619151733271
1900	78	6	6962.51	0.073242988696769
1900	79	1	26788.73	0.344308012834725
1900	79	2	2610.68	0.0335543358325445
1900	79	4	214.03	0.00275086739785784
1900	79	5	42101.29	0.541116040128759
1900	79	6	6089.82	0.0782707438061142
1900	80	1	30042.38	0.310101317888125
1900	80	2	3246.94	0.0335153331095496
1900	80	4	195.7	0.00202004061964152
1900	80	5	53882.44	0.556181489450165
1900	80	6	9511.78	0.0981818189325185
1900	81	1	15384.25	0.296095240111554
1900	81	2	1659.27	0.0319353851542908
1900	81	4	58.41	0.00112419669304099
1900	81	5	31261.5	0.601679077546668
1900	81	6	3593.67	0.0691661004944464
1900	82	1	13570.45	0.280228867324395
1900	82	2	1716.8	0.0354518029558725
1900	82	4	254.42	0.00525375565472571
1900	82	5	28849.91	0.595748674635751
1900	82	6	4034.73	0.0833168994292565
1900	83	1	9547.88	0.257429501230813
1900	83	2	1216.27	0.0327930157754393
1900	83	4	98.18	0.00264712464241709
1900	83	5	23798.15	0.641644625269282
1900	83	6	2428.82	0.0654857330820479
1900	84	1	8303.41	0.233644694138377
1900	84	2	1024.31	0.0288224472419019
1900	84	4	39.4	0.00110865306531317
1900	84	5	22561.36	0.634840632528781
1900	84	6	3610.14	0.101583573025627
1900	85	1	6834.95	0.221803203465283
1900	85	2	985.84	0.0319918170731628
1900	85	4	60.82	0.00197368976141135
1900	85	5	20826.79	0.67585699089221
